headword	CEFR
fit	A2
fix	A2
flea	A2
flight	A2
float	A2
flood	A2
flour	A2
fog	A2
folder	A2
follow	A2
fool	A2
footballer	A2
for	A2
forbid	A2
force	A2
forest	A2
forever	A2
fork	A2
fortunately	A2
fortune	A2
forward	A2
frame	A2
frank	A2
free	A2
freedom	A2
freeze	A2
fresh	A2
fridge	A2
fried	A2
friendship	A2
frighten	A2
frightened	A2
frightening	A2
front	A2
fry	A2
fully	A2
function	A2
furniture	A2
further	A2
gallery	A2
garage	A2
garlic	A2
gas	A2
gate	A2
gather	A2
gender	A2
generation	A2
gentle	A2
given	A2
globe	A2
glove	A2
gold	A2
golden	A2
golf	A2
good-looking	A2
government	A2
grace	A2
gradually	A2
graduate	A2
gram/gramme	A2
grandchild	A2
granddad	A2
granddaughter	A2
grandson	A2
granny	A2
grateful	A2
greatly	A2
greedy	A2
green	A2
grilled	A2
grocery store	A2
guard	A2
guidebook	A2
gun	A2
half	A2
half	A2
half-price	A2
half-price	A2
ham	A2
hand	A2
handbag	A2
handicapped	A2
handle	A2
happily	A2
happiness	A2
hardly	A2
harm	A2
harmful	A2
harmony	A2
harvest	A2
hate	A2
head	A2
headphone	A2
headteacher	A2
heat	A2
heating	A2
heavily	A2
help	A2
helpful	A2
hero	A2
herself	A2
hey	A2
high	A2
high school	A2
highway	A2
hike	A2
hiking	A2
himself	A2
hip hop/hip-hop/hiphop	A2
hit	A2
hockey	A2
hold	A2
home	A2
honey	A2
honor/honour	A2
horror	A2
host	A2
however	A2
hug	A2
human	A2
hundred	A2
hunter	A2
hurry	A2
ID	A2
ID card	A2
ill	A2
illegal	A2
image	A2
imagination	A2
impact	A2
impatient	A2
importance	A2
importantly	A2
impossible	A2
impress	A2
improve	A2
in	A2
inch	A2
include	A2
increase	A2
indeed	A2
independence	A2
indicate	A2
indoor	A2
inexpensive	A2
influence	A2
injure	A2
inner	A2
insect	A2
inside	A2
inspiration	A2
instant	A2
instead	A2
instrument	A2
intelligence	A2
intelligent	A2
interest	A2
international	A2
invade	A2
invent	A2
invention	A2
invite	A2
issue	A2
IT	A2
itself	A2
jam	A2
jelly	A2
joke	A2
journey	A2
joy	A2
junior	A2
junk	A2
killer	A2
kilo	A2
kilogram/kilogramme	A2
