headword	CEFR
kilometer/kilometre	A2
kind	A2
kindly	A2
kingdom	A2
kit	A2
knock	A2
knowledge	A2
labor/labour	A2
lack	A2
lake	A2
lamp	A2
land	A2
landscape	A2
lane	A2
last	A2
last	A2
latest	A2
latter	A2
latter	A2
law	A2
lawyer	A2
laziness	A2
lead	A2
learner	A2
least	A2
leather	A2
left	A2
left	A2
left-hand	A2
leisure	A2
lemon	A2
lemonade	A2
lend	A2
less	A2
less	A2
less	A2
level	A2
liberty	A2
license/licence	A2
lie	A2
lifestyle	A2
likely	A2
lip	A2
liter/litre	A2
lively	A2
load	A2
local	A2
lock	A2
logical	A2
long	A2
loose	A2
lose	A2
lost	A2
lot	A2
loudly	A2
lover	A2
low	A2
low	A2
luckily	A2
lunchtime	A2
lyric	A2
mad	A2
magic	A2
magic	A2
main course	A2
mainly	A2
major	A2
maker	A2
make-up	A2
male	A2
mall	A2
manage	A2
manager	A2
manner	A2
mark	A2
mark	A2
market	A2
married	A2
marry	A2
marvelous/marvellous	A2
material	A2
matter	A2
max	A2
mean	A2
meaning	A2
medal	A2
medical	A2
melon	A2
member	A2
mention	A2
menu	A2
metal	A2
meter/metre	A2
method	A2
midday	A2
middle	A2
midnight	A2
might	A2
military	A2
million	A2
mind	A2
mineral water	A2
mirror	A2
missing	A2
mistake	A2
mix	A2
mobile	A2
model	A2
modern	A2
mood	A2
mosque	A2
most	A2
most	A2
mostly	A2
motorway	A2
move	A2
MP3 player	A2
Ms./Ms	A2
mug	A2
murder	A2
museum	A2
mushroom	A2
musical	A2
myself	A2
mysterious	A2
mystery	A2
napkin	A2
nation	A2
national	A2
native	A2
natural	A2
nature	A2
nearly	A2
necessary	A2
need	A2
negative	A2
nervous	A2
net	A2
next	A2
next	A2
next to	A2
no one	A2
nobody	A2
noisy	A2
noon	A2
normal	A2
north	A2
north	A2
north	A2
notice	A2
noun	A2
novel	A2
nowadays	A2
oak	A2
occupation	A2
off	A2
offer	A2
offer	A2
official	A2
oil	A2
olive oil	A2
Olympic	A2
omelet/omelette	A2
on	A2
one	A2
onion	A2
online	A2
online	A2
operate	A2
opinion	A2
opportunity	A2
oppose	A2
opposite	A2
opposite	A2
order	A2
organize/organise	A2
organized/organised	A2
original	A2
orphan	A2
other	A2
ourselves	A2
out of	A2
outside	A2
oven	A2
over	A2
overseas	A2
overweight	A2
own	A2
pacific	A2
pack	A2
pack	A2
painter	A2
pal	A2
pan	A2
panic	A2
park	A2
part	A2
partly	A2
pass	A2
pass	A2
passage	A2
passenger	A2
pasta	A2
path	A2
patient	A2
PC	A2
pea	A2
peaceful	A2
pear	A2
pence	A2
penfriend/pen friend	A2
pepper	A2
perfect	A2
perfectly	A2
perform	A2
performance	A2
perfume	A2
perhaps	A2
permission	A2
personality	A2
petrol	A2
petrol station	A2
photograph	A2
photographer	A2
photography	A2
physical	A2
physically	A2
pile	A2
pilgrim	A2
pill	A2
pilot	A2
pink	A2
pity	A2
planet	A2
plant	A2
plastic	A2
plate	A2
playful	A2
playground	A2
pleasant	A2
pleased	A2
pleasing	A2
plenty	A2
plural	A2
plus	A2
point	A2
police	A2
police officer	A2
police station	A2
policeman	A2
policewoman	A2
polite	A2
political	A2
pollute	A2
popular	A2
population	A2
portrait	A2
position	A2
possible	A2
possibly	A2
post	A2
post office	A2
pour	A2
power	A2
powerful	A2
precise	A2
predict	A2
prediction	A2
prefer	A2
prepare	A2
pressure	A2
pretend	A2
pretty	A2
prevent	A2
pride	A2
principal	A2
print	A2
printer	A2
private	A2
pro	A2
probably	A2
produce	A2
product	A2
production	A2
professional	A2
progressive	A2
promise	A2
pronounce	A2
pronunciation	A2
proper	A2
provide	A2
psychologist	A2
public	A2
publish	A2
pull	A2
punctuation	A2
purple	A2
purpose	A2
pursue	A2
quality	A2
queen	A2
quick	A2
quietly	A2
quit	A2
quite	A2
quiz	A2
racket	A2
raincoat	A2
raise	A2
range	A2
rap	A2
rate	A2
rather	A2
rating	A2
raw	A2
ray	A2
reach	A2
realize/realise	A2
receipt	A2
receive	A2
recent	A2
recently	A2
receptionist	A2
record	A2
recycle	A2
red	A2
refer	A2
reflect	A2
refrigerator	A2
regret	A2
regular	A2
regularly	A2
relax	A2
relaxed	A2
release	A2
remain	A2
remind	A2
remote	A2
rent	A2
rent	A2
repair	A2
repair	A2
replace	A2
reply	A2
report	A2
represent	A2
request	A2
research	A2
response	A2
retire	A2
retired	A2
return	A2
return	A2
reunion	A2
reveal	A2
rhythm	A2
right	A2
right-hand	A2
ring	A2
road	A2
roast	A2
rob	A2
robbery	A2
robin	A2
rock	A2
roll	A2
romance	A2
romantic	A2
roof	A2
root	A2
rope	A2
roughly	A2
round	A2
roundabout	A2
royal	A2
rugby	A2
ruin	A2
rumor/rumour	A2
runner	A2
running	A2
rush	A2
sadly	A2
safe	A2
sailing	A2
sake	A2
salt	A2
sample	A2
sandy	A2
satisfy	A2
sauce	A2
sausage	A2
scale	A2
scarf	A2
scene	A2
scenery	A2
schedule	A2
schoolchild	A2
schoolwork	A2
scientific	A2
scissors	A2
scream	A2
screen	A2
screw	A2
script	A2
seafood	A2
search	A2
seaside	A2
second	A2
second	A2
secret	A2
secretary	A2
seed	A2
seek	A2
seem	A2
semester	A2
send	A2
senior	A2
senior	A2
sense	A2
separate	A2
seriously	A2
serve	A2
set	A2
several	A2
several	A2
sew	A2
shade	A2
shadow	A2
shall	A2
shampoo	A2
shape	A2
share	A2
shell	A2
shine	A2
shock	A2
shoot	A2
shop assistant	A2
shore	A2
short/shorts	A2
shot	A2
shout	A2
show	A2
shut	A2
sightseeing	A2
significant	A2
silence	A2
silently	A2
silly	A2
silver	A2
silver	A2
similar	A2
simple	A2
simply	A2
since	A2
singing	A2
single	A2
singular	A2
singular	A2
sink	A2
sitting room	A2
situation	A2
skate	A2
skateboarding	A2
skating	A2
ski	A2
skiing	A2
slave	A2
sleepless	A2
sleepy	A2
slice	A2
slide	A2
slim	A2
slowly	A2
smoke	A2
smooth	A2
smoothly	A2
snack	A2
snow	A2
snowboarding	A2
so	A2
soap	A2
society	A2
sock	A2
soda	A2
soft	A2
soft drink	A2
softly	A2
software	A2
soldier	A2
solution	A2
somebody	A2
someday	A2
somewhere	A2
sound	A2
sound	A2
source	A2
south	A2
south	A2
south	A2
space	A2
spaceship	A2
spaghetti	A2
speaker	A2
specific	A2
speed	A2
spell	A2
spill	A2
splash	A2
split	A2
spoon	A2
sports center/sports centre	A2
spread	A2
square	A2
square	A2
stadium	A2
staff	A2
stair	A2
stamp	A2
stand	A2
state	A2
statement	A2
statue	A2
steak	A2
steal	A2
step	A2
still	A2
stomach	A2
stomachache	A2
storm	A2
stove	A2
straight	A2
stranger	A2
strategy	A2
strength	A2
strike	A2
string	A2
strongly	A2
structure	A2
study	A2
stuff	A2
style	A2
succeed	A2
success	A2
successfully	A2
such	A2
such	A2
sudden	A2
suggest	A2
suit	A2
suit	A2
suitable	A2
suitcase	A2
summary	A2
sunflower	A2
sunglasses	A2
sunlight	A2
superlative	A2
superstar	A2
supper	A2
support	A2
sure	A2
surf	A2
surfing	A2
surname	A2
surprised	A2
surprising	A2
survive	A2
swallow	A2
sweat	A2
sweater	A2
sweet	A2
sweetheart	A2
swimming costume	A2
swimsuit	A2
symbol	A2
symphony	A2
system	A2
table tennis	A2
tablespoon	A2
talent	A2
tap	A2
tape	A2
target	A2
task	A2
tear	A2
teenage	A2
teenager	A2
telephone	A2
temperature	A2
terrify	A2
terrorist	A2
text	A2
text	A2
text message	A2
textbook	A2
theirs	A2
themselves	A2
therefore	A2
thief	A2
third	A2
thirsty	A2
though	A2
thought	A2
thousand	A2
throw	A2
thunderstorm	A2
tidy	A2
tidy	A2
tie	A2
tights	A2
till	A2
timetable	A2
tip	A2
title	A2
toast	A2
toe	A2
tone	A2
tonight	A2
toothache	A2
toothbrush	A2
tour	A2
tour guide	A2
tourist	A2
toward/towards	A2
track	A2
trade	A2
tradition	A2
traditional	A2
traffic	A2
traffic light	A2
train	A2
training	A2
tram	A2
trap	A2
travel	A2
traveler/traveller	A2
treasure	A2
trick	A2
trouble	A2
truly	A2
trust	A2
truth	A2
try	A2
tune	A2
twice	A2
uncertain	A2
uncomfortable	A2
understand	A2
underwater	A2
uneasy	A2
unfair	A2
unforgettable	A2
unfortunately	A2
unhappy	A2
unhealthy	A2
uniform	A2
uniform	A2
unimportant	A2
unit	A2
university	A2
unknown	A2
unlike	A2
unnecessary	A2
unpleasant	A2
unusual	A2
up	A2
upon	A2
upset	A2
upstairs	A2
use	A2
used	A2
useful	A2
usual	A2
valley	A2
value	A2
verb	A2
video game	A2
view	A2
village	A2
violent	A2
violin	A2
visitor	A2
vocabulary	A2
voice	A2
walking	A2
wallet	A2
wander	A2
washing machine	A2
washing-up	A2
wave	A2
weak	A2
wealth	A2
web	A2
web page	A2
website	A2
wedding	A2
weekday	A2
weekly	A2
weekly	A2
weep	A2
weigh	A2
weight	A2
well-known	A2
west	A2
west	A2
west	A2
wet	A2
whatever	A2
wheelchair	A2
while	A2
whole	A2
whom	A2
wide	A2
wide	A2
widely	A2
wild	A2
windy	A2
wine	A2
winner	A2
wisdom	A2
wise	A2
wish	A2
within	A2
without	A2
wonder	A2
wood	A2
wooden	A2
wool	A2
worldwide	A2
worried	A2
worry	A2
worse	A2
worse	A2
worst	A2
writing	A2
wrong	A2
yeah	A2
youth	A2
zone	A2
