headword	CEFR
sticker	B1
sticky	B1
stir	B1
storage	B1
stormy	B1
storyteller	B1
strain	B1
strangely	B1
strategic	B1
straw	B1
strawberry	B1
stream	B1
stream	B1
strengthen	B1
stress	B1
stressed	B1
stressful	B1
stretch	B1
stricken	B1
strike	B1
strip	B1
stripe	B1
struggle	B1
stubborn	B1
stuck	B1
studio	B1
stuffed	B1
stumble	B1
stun	B1
stunning	B1
stupid	B1
stylish	B1
subconscious	B1
submarine	B1
substantial	B1
substitute	B1
suddenly	B1
suffer	B1
sufficient	B1
suffix	B1
suicide	B1
summarize/summarise	B1
summit	B1
sunbathe	B1
sundial	B1
sunrise	B1
sunset	B1
superior	B1
superstition	B1
supply	B1
support	B1
supporter	B1
supportive	B1
suppose	B1
supposedly	B1
surely	B1
surface	B1
surgeon	B1
surgery	B1
surprise	B1
surprisingly	B1
surround	B1
surrounding	B1
survival	B1
survivor	B1
suspect	B1
suspicion	B1
swarm	B1
swear	B1
sweat	B1
sweatshirt	B1
swell	B1
swimmer	B1
switch	B1
switch	B1
swollen	B1
sword	B1
sympathy	B1
symptom	B1
syndrome	B1
systematic	B1
tablet	B1
take	B1
takeaway	B1
takeoff/take-off	B1
tale	B1
talented	B1
talk	B1
talkative	B1
tank	B1
tape	B1
taste	B1
taste	B1
tasteless	B1
tasty	B1
tax	B1
teaching	B1
teammate	B1
teamwork	B1
tear	B1
tease	B1
technique	B1
technological	B1
teen	B1
telecommunications	B1
telegram	B1
teller	B1
temper	B1
temporary	B1
tempt	B1
tend	B1
tendency	B1
tense	B1
tense	B1
tension	B1
tent	B1
term	B1
terminal	B1
terribly	B1
terrific	B1
terrified	B1
terror	B1
terrorism	B1
terrorist	B1
thankful	B1
theft	B1
theory	B1
thirst	B1
thorough	B1
threat	B1
threatening	B1
thriller	B1
through	B1
throughout	B1
thumb	B1
thump	B1
thunder	B1
thunderous	B1
thus	B1
tick	B1
tick	B1
tide	B1
tie	B1
tighten	B1
tightly	B1
tile	B1
till	B1
timely	B1
tin	B1
tiny	B1
tire	B1
tiring	B1
tissue	B1
tobacco	B1
tongue	B1
toothpaste	B1
top	B1
tornado	B1
toss	B1
total	B1
total	B1
totally	B1
touch	B1
tour	B1
tourism	B1
tournament	B1
trace	B1
tracksuit	B1
traditionally	B1
traffic jam	B1
tragedy	B1
tragic	B1
trail	B1
transfer	B1
transform	B1
transformation	B1
transitional	B1
translate	B1
transport	B1
transportation	B1
trash	B1
travel agent	B1
treat	B1
treatment	B1
tremble	B1
tremendous	B1
trend	B1
trigger	B1
trim	B1
triumph	B1
tropical	B1
trouble	B1
trumpet	B1
trustworthy	B1
tumble	B1
tuna	B1
turbulence	B1
turning	B1
turtle	B1
twin	B1
twist	B1
twist	B1
type	B1
typical	B1
typically	B1
unable	B1
unafraid	B1
unbelievable	B1
uncertainty	B1
unclear	B1
uncontrollable	B1
uncover	B1
underage	B1
undergo	B1
underline	B1
underneath	B1
underpants	B1
undo	B1
undress	B1
unemployed	B1
unemployment	B1
unexpected	B1
unexpectedly	B1
unfairly	B1
unfit	B1
unfold	B1
unfortunate	B1
unfriendly	B1
unheard	B1
unify	B1
uninterested	B1
uninteresting	B1
union	B1
unique	B1
unite	B1
universe	B1
unless	B1
unlikely	B1
unlucky	B1
unpack	B1
unpredictable	B1
unrelated	B1
untidy	B1
until	B1
unusually	B1
unwanted	B1
unwell	B1
update	B1
uplifted	B1
upload	B1
upper	B1
upstairs	B1
upstairs	B1
up-to-date	B1
upward	B1
urge	B1
urgent	B1
usage	B1
used to	B1
useless	B1
vacancy	B1
vague	B1
vain	B1
valuable	B1
van	B1
variety	B1
various	B1
vary	B1
vast	B1
vegetarian	B1
vegetarian	B1
vehicle	B1
vein	B1
vessel	B1
vet	B1
via	B1
vice	B1
vice president	B1
victim	B1
victory	B1
video clip	B1
view	B1
viewpoint	B1
violence	B1
violently	B1
virtual	B1
virus	B1
visa	B1
visible	B1
vision	B1
visual	B1
visually	B1
vivid	B1
vividly	B1
volcano	B1
volume	B1
volunteer	B1
vote	B1
vowel	B1
voyage	B1
wagon	B1
wake	B1
ward	B1
wardrobe	B1
warm	B1
warmly	B1
warmth	B1
warn	B1
warning	B1
warranty	B1
warrior	B1
washbowl	B1
waste	B1
waste	B1
waste	B1
wasteful	B1
waterfall	B1
wave	B1
wax	B1
wax	B1
weakness	B1
weapon	B1
weather forecast	B1
webcam	B1
weird	B1
welcome	B1
well-dressed	B1
westward	B1
wetland	B1
whale	B1
whatever	B1
whenever	B1
whenever	B1
wherever	B1
whether	B1
whichever	B1
while	B1
whisper	B1
whistle	B1
whoever	B1
whole	B1
widespread	B1
wildlife	B1
wildly	B1
willingness	B1
windscreen	B1
windsurfing	B1
wing	B1
wire	B1
wither	B1
witness	B1
wizard	B1
wonder	B1
working	B1
workout	B1
workplace	B1
workshop	B1
worn	B1
worst	B1
worth	B1
worthwhile	B1
worthy	B1
wound	B1
wrap	B1
wrap	B1
wrapping	B1
wrist	B1
wristwatch	B1
written	B1
yell	B1
yet	B1
yoga	B1
