headword	CEFR
correction	B1
cotton	B1
cough	B1
council	B1
counseling/counselling	B1
count	B1
counter	B1
countless	B1
county	B1
courage	B1
courageous	B1
courgette	B1
craft	B1
crash	B1
crash	B1
creator	B1
criminal	B1
crisis	B1
critic	B1
critical	B1
crop	B1
crossing	B1
crossroads	B1
crow	B1
cruel	B1
crush	B1
cucumber	B1
cultivate	B1
cultural	B1
cure	B1
curiosity	B1
curious	B1
curiously	B1
curly	B1
currency	B1
current	B1
currently	B1
curriculum	B1
curtain	B1
curve	B1
cushion	B1
customs	B1
cut	B1
CV	B1
cycle	B1
cycle	B1
daisy	B1
damage	B1
damage	B1
damaged	B1
damp	B1
dangerously	B1
dare	B1
darkness	B1
date	B1
dating	B1
daze	B1
dazzle	B1
deadline	B1
deadly	B1
deaf	B1
deal	B1
dealer	B1
debris	B1
debt	B1
decision	B1
declaration	B1
declare	B1
decline	B1
decrease	B1
decrease	B1
dedicate	B1
deed	B1
defeat	B1
defend	B1
defender	B1
defense/defence	B1
deficiency	B1
define	B1
definite	B1
definite article	B1
definitely	B1
definition	B1
delay	B1
delete	B1
delicate	B1
delight	B1
delighted	B1
delightful	B1
deliver	B1
delivery	B1
demand	B1
demand	B1
democracy	B1
democratic	B1
demonstrate	B1
demonstration	B1
deny	B1
depart	B1
department	B1
departure	B1
dependent	B1
deposit	B1
depressed	B1
depressing	B1
depression	B1
deprive	B1
depth	B1
derive	B1
deserve	B1
design	B1
designer	B1
desire	B1
despair	B1
desperate	B1
despite	B1
destination	B1
destruction	B1
destructive	B1
detective	B1
determination	B1
determine	B1
devastate	B1
devastating	B1
development	B1
device	B1
devotion	B1
diagram	B1
dial	B1
dial	B1
dialog/dialogue	B1
diameter	B1
diaper	B1
differ	B1
dig	B1
digital	B1
diligence	B1
diligent	B1
dioxide	B1
direct	B1
directly	B1
dirt	B1
disability	B1
disable	B1
disabled	B1
disagreement	B1
disappoint	B1
disappointment	B1
disaster	B1
disastrous	B1
disc jockey/disk jockey	B1
discomfort	B1
discount	B1
discourage	B1
discovery	B1
discrimination	B1
disease	B1
disgusting	B1
dishwasher	B1
disk/disc	B1
dislike	B1
display	B1
dissolve	B1
distance	B1
distant	B1
distinction	B1
distinctly	B1
distinguish	B1
distribute	B1
distribution	B1
district	B1
disturbance	B1
dive	B1
dive	B1
diver	B1
diverse	B1
divide	B1
divine	B1
diving	B1
divorced	B1
DJ	B1
doc	B1
document	B1
documentary	B1
dolphin	B1
dot	B1
downstairs	B1
downward	B1
doze	B1
dozen	B1
dozen	B1
drag	B1
dramatic	B1
drown	B1
drunk	B1
dude	B1
dull	B1
dump	B1
dump	B1
dustbin	B1
dusty	B1
duty	B1
duty-free	B1
duvet	B1
dynasty	B1
eager	B1
eagerness	B1
earache	B1
earnest	B1
eastern	B1
easygoing/easy-going	B1
eco	B1
ecological	B1
ecology	B1
economic	B1
economics	B1
economy	B1
ecosystem	B1
ecstasy	B1
edge	B1
edition	B1
educate	B1
effective	B1
efficiency	B1
efficient	B1
either	B1
either	B1
elbow	B1
election	B1
electrical	B1
electricity	B1
electron	B1
electronic	B1
element	B1
eliminate	B1
embarrass	B1
embarrassed	B1
embarrassment	B1
emerge	B1
emotion	B1
emotional	B1
emotionally	B1
emperor	B1
emphasis	B1
emphasize/emphasize	B1
empire	B1
employment	B1
enable	B1
enclose	B1
encounter	B1
encouragement	B1
encouraging	B1
encyclopedia/encyclopaedia	B1
endanger	B1
endless	B1
endure	B1
enemy	B1
engage	B1
engaged	B1
engine	B1
engineering	B1
Englishman	B1
enjoyable	B1
enjoyment	B1
enrich	B1
ensure	B1
entertain	B1
entertainer	B1
enthusiasm	B1
enthusiast	B1
enthusiastic	B1
entire	B1
entirely	B1
entry	B1
environmental	B1
environmentalist	B1
equal	B1
equality	B1
equally	B1
equipment	B1
era	B1
escape	B1
essence	B1
essential	B1
establishment	B1
estimate	B1
eternal	B1
eternity	B1
even	B1
evenly	B1
eventually	B1
evident	B1
exact	B1
examination	B1
examine	B1
examiner	B1
excellence	B1
excess	B1
exchange	B1
exchange rate	B1
excitedly	B1
excitement	B1
exclusive	B1
excuse	B1
exhausted	B1
existence	B1
exit	B1
exit	B1
expand	B1
expense	B1
experience	B1
experienced	B1
experiment	B1
exploration	B1
explosion	B1
expose	B1
express	B1
extend	B1
extensively	B1
extent	B1
extinct	B1
extinction	B1
extra	B1
extraordinary	B1
extreme	B1
extreme sports	B1
eyesight	B1
face to face	B1
face-to-face	B1
facility	B1
fade	B1
failure	B1
faint	B1
fair	B1
faithful	B1
fake	B1
fall	B1
fallen	B1
fancy	B1
fancy	B1
fantasy	B1
faraway	B1
farewell	B1
farming	B1
farmland	B1
farther	B1
farthest	B1
fascinate	B1
fashionable	B1
fasten	B1
favorable/favourable	B1
fax	B1
fax	B1
feast	B1
feed	B1
fellow	B1
ferry	B1
festive	B1
fetch	B1
feverishly	B1
few	B1
fifth	B1
fight	B1
filling	B1
film	B1
film-maker	B1
filter	B1
finance	B1
financial	B1
finding	B1
fine	B1
finger	B1
fire station	B1
firefighter	B1
firework	B1
firm	B1
firm	B1
firmly	B1
first floor	B1
first lady	B1
first-floor	B1
fish	B1
fit	B1
fitness	B1
fix	B1
flash	B1
flat	B1
flavor/flavour	B1
float	B1
flock	B1
flood	B1
flow	B1
flow	B1
flu	B1
fluent	B1
fluently	B1
flunk	B1
flute	B1
fold	B1
fold	B1
folk	B1
fond	B1
fondness	B1
fool	B1
foolish	B1
foot	B1
forbidden	B1
forecast	B1
forehead	B1
forgive	B1
form	B1
formal	B1
formally	B1
format	B1
format	B1
former	B1
formula	B1
forth	B1
fortnight	B1
fortunate	B1
foundation	B1
fountain	B1
fragment	B1
freely	B1
freezer	B1
freezing	B1
frequency	B1
frequent	B1
frequently	B1
freshman	B1
friendliness	B1
fright	B1
frost	B1
frozen	B1
frustrated	B1
frustration	B1
fry	B1
frying pan	B1
fuel	B1
full stop	B1
full-time	B1
full-time	B1
function	B1
fund	B1
fund	B1
funeral	B1
fur	B1
furnish	B1
further	B1
furthermore	B1
furthest	B1
fuss	B1
future	B1
gain	B1
gain	B1
gall	B1
gallon	B1
gap	B1
gardening	B1
garment	B1
gay	B1
gee	B1
gene	B1
general	B1
general	B1
generally	B1
generate	B1
generous	B1
genetic	B1
genetically	B1
genetics	B1
gentleman	B1
geographical	B1
geography	B1
geology	B1
gesture	B1
giant	B1
gifted	B1
giggle	B1
ginger	B1
giraffe	B1
glance	B1
glance	B1
glide	B1
glimpse	B1
glint	B1
global	B1
glorious	B1
glory	B1
go	B1
goalkeeper	B1
goddess	B1
golfer	B1
goodness	B1
goods	B1
gorgeous	B1
gorilla	B1
gossip	B1
govern	B1
governor	B1
gown	B1
grab	B1
graceful	B1
graduate	B1
graduation	B1
grant	B1
grant	B1
graph	B1
graphic	B1
graphics	B1
gratitude	B1
grave	B1
gravy	B1
greenhouse	B1
greeting	B1
grill	B1
grill	B1
groom	B1
ground floor	B1
group	B1
grouping	B1
growth	B1
guarantee	B1
guess	B1
guidance	B1
guide	B1
guide	B1
guilt	B1
guilty	B1
guitarist	B1
gym	B1
gymnastics	B1
habitat	B1
hairdresser	B1
hairdryer	B1
half	B1
hammer	B1
handball	B1
hand-held	B1
handkerchief	B1
handle	B1
handshake	B1
handwriting	B1
handy	B1
hang	B1
hanging	B1
harbor/harbour	B1
hardship	B1
hard-working	B1
harness	B1
hasty	B1
hatch	B1
hate	B1
hatred	B1
haunt	B1
haven	B1
hazard	B1
headline	B1
heal	B1
healing	B1
hearing	B1
heart attack	B1
hearted	B1
hearty	B1
heat	B1
heater	B1
heaven	B1
heavenly	B1
heel	B1
height	B1
helmet	B1
helpless	B1
herd	B1
hesitate	B1
hidden	B1
highlight	B1
highly	B1
hip	B1
hire	B1
historian	B1
historic	B1
historical	B1
hit	B1
HIV	B1
holy	B1
homeless	B1
honest	B1
honestly	B1
honesty	B1
honeymoon	B1
hop	B1
hope	B1
hopeful	B1
hopefully	B1
hopeless	B1
horizon	B1
horn	B1
horrible	B1
horrify	B1
hostel	B1
household	B1
housework	B1
huge	B1
human	B1
humanity	B1
humid	B1
humor/humour	B1
humorous	B1
hunger	B1
hunt	B1
hunt	B1
hurriedly	B1
hurt	B1
hut	B1
ice hockey	B1
ice skating	B1
identity	B1
identity card	B1
idiom	B1
idol	B1
ignore	B1
illegally	B1
illness	B1
illuminate	B1
imaginary	B1
imitate	B1
immediate	B1
immediately	B1
immigrate	B1
immigration	B1
impair	B1
impression	B1
impressive	B1
improper	B1
improvement	B1
incident	B1
including	B1
income	B1
inconvenient	B1
incorrect	B1
increase	B1
increasingly	B1
incredible	B1
incredibly	B1
indefinite article	B1
independent	B1
indirect	B1
indirectly	B1
individual	B1
indoors	B1
industrial	B1
industry	B1
inevitable	B1
infection	B1
infinitive	B1
inform	B1
informative	B1
ingredient	B1
inhabitant	B1
inhale	B1
initial	B1
initially	B1
inject	B1
injury	B1
ink	B1
innermost	B1
innocent	B1
innovator	B1
inquiry/enquiry	B1
insane	B1
inscribe	B1
inscription	B1
insight	B1
insist	B1
inspection	B1
inspire	B1
install/instal	B1
instance	B1
instead of	B1
institute	B1
instruction	B1
instructor	B1
insurance	B1
intend	B1
intense	B1
intensive	B1
intention	B1
intentionally	B1
interact	B1
interaction	B1
interest	B1
intermediate	B1
intermission	B1
internal	B1
internationally	B1
interrupt	B1
interval	B1
interview	B1
interviewee	B1
introduction	B1
invasion	B1
invest	B1
investigation	B1
invitation	B1
involuntarily	B1
involve	B1
involved	B1
iron	B1
iron	B1
ironing	B1
irregular	B1
irritate	B1
isle	B1
isolation	B1
ivory	B1
jade	B1
jail/gaol	B1
jar	B1
jazz	B1
jealous	B1
jewel	B1
jog	B1
jogging	B1
joint	B1
joke	B1
journal	B1
journalist	B1
judge	B1
judgment/judgement	B1
jug	B1
juicy	B1
jumper	B1
jungle	B1
justice	B1
kettle	B1
keyboard	B1
kid	B1
killing	B1
kindly	B1
kindness	B1
kiss	B1
kitten	B1
knit	B1
knock	B1
lab	B1
laboratory	B1
ladder	B1
lamb	B1
land	B1
landlord	B1
largely	B1
last	B1
last	B1
lasting	B1
latecomer	B1
lately	B1
laugh	B1
laughter	B1
launch	B1
lawful	B1
lay	B1
layer	B1
lead	B1
lead	B1
leadership	B1
leading	B1
league	B1
lean	B1
leap	B1
least	B1
leave	B1
lecture	B1
legal	B1
legally	B1
length	B1
lessen	B1
lettuce	B1
level	B1
liar	B1
liberate	B1
liberation	B1
librarian	B1
lie	B1
lifeguard	B1
lifelong	B1
lift	B1
lift	B1
light	B1
lighter	B1
lightly	B1
lightning	B1
like	B1
likeness	B1
limit	B1
limit	B1
limitation	B1
limited	B1
limp	B1
link	B1
link	B1
liquid	B1
liquid	B1
literary	B1
literature	B1
little	B1
little	B1
live	B1
liver	B1
loaf	B1
locate	B1
location	B1
lock	B1
lodge	B1
log	B1
logic	B1
logo	B1
lorry	B1
loss	B1
lottery	B1
loud	B1
loud	B1
loudspeaker	B1
lovingly	B1
loyal	B1
loyalty	B1
luggage	B1
lung	B1
luxury	B1
magical	B1
magician	B1
magnificent	B1
mail	B1
mailbox	B1
main	B1
maintain	B1
maintenance	B1
majority	B1
male	B1
management	B1
mankind	B1
maple	B1
marble	B1
march	B1
march	B1
marine	B1
marked	B1
market	B1
marriage	B1
mash	B1
mass	B1
massive	B1
match	B1
mathematician	B1
mathematics	B1
maximum	B1
maximum	B1
mayor	B1
meaningful	B1
meanwhile	B1
measure	B1
measure	B1
measurement	B1
mechanic	B1
mechanical	B1
meditate	B1
meditation	B1
Mediterranean	B1
medium	B1
medium	B1
melt	B1
membership	B1
memorable	B1
memorize/memorise	B1
mend	B1
mental	B1
mentally	B1
mention	B1
merchant	B1
mere	B1
merely	B1
mess	B1
message board	B1
messy	B1
middle-aged	B1
mild	B1
mile	B1
mineral	B1
minimize/minimise	B1
minimum	B1
minimum	B1
minor	B1
minority	B1
minus	B1
miracle	B1
mischief	B1
miserable	B1
misery	B1
mislead	B1
mission	B1
misty	B1
misunderstanding	B1
mixing bowl	B1
modal verb/modal	B1
model	B1
model	B1
modem	B1
moderate	B1
modify	B1
moisture	B1
molecule	B1
monitor	B1
monitor	B1
monk	B1
monster	B1
monthly	B1
monthly	B1
monument	B1
moral	B1
more	B1
moreover	B1
mosquito	B1
moss	B1
motherland	B1
motionless	B1
motivate	B1
motivation	B1
motive	B1
motor	B1
motorcycle	B1
motto	B1
mount	B1
mountaintop	B1
mourn	B1
movement	B1
mud	B1
mule	B1
murder	B1
murderer	B1
muscle	B1
mustard	B1
mutual	B1
myth	B1
nail	B1
naked	B1
name	B1
nap	B1
narrate	B1
narrative	B1
narrow	B1
nasty	B1
nationalist	B1
naturally	B1
navy blue	B1
near	B1
near	B1
nearby	B1
nearby	B1
necklace	B1
nectar	B1
needle	B1
negotiate	B1
negotiation	B1
neighborhood/neighbourhood	B1
nephew	B1
nervousness	B1
ness	B1
net	B1
network	B1
neutral	B1
nevertheless	B1
newborn	B1
newcomer	B1
newly	B1
next door	B1
next-door	B1
nickname	B1
niece	B1
nightlife	B1
nod	B1
noisily	B1
none	B1
nonetheless	B1
nonsense	B1
nor	B1
normally	B1
northeast	B1
northeast	B1
northeastern	B1
northern	B1
northwest	B1
northwest	B1
northwestern	B1
notice	B1
noticeable	B1
noticeboard	B1
notion	B1
notorious	B1
novelist	B1
nowhere	B1
nuclear	B1
nucleus	B1
numerous	B1
nurse	B1
nutrient	B1
nutrition	B1
nutritious	B1
object	B1
objection	B1
objective	B1
observation	B1
observe	B1
obstacle	B1
obtain	B1
obvious	B1
obviously	B1
occasion	B1
occasion	B1
occasional	B1
occasionally	B1
occupy	B1
occur	B1
ocean	B1
off	B1
offensive	B1
officially	B1
oily	B1
old-fashioned	B1
oneself	B1
onstage	B1
onto/on to	B1
opening	B1
operation	B1
opposite	B1
opposite	B1
opposition	B1
oppress	B1
oppression	B1
option	B1
oral	B1
orbit	B1
orchestra	B1
orderly	B1
ordinary	B1
organ	B1
organic	B1
organism	B1
organization/organisation	B1
origin	B1
otherwise	B1
ought to	B1
outdoor	B1
outdoors	B1
outer	B1
outlaw	B1
outline	B1
out-of-date	B1
outstanding	B1
outward	B1
outweigh	B1
overcome	B1
overjoyed	B1
overnight	B1
overnight	B1
overwhelm	B1
overwhelming	B1
overwork	B1
owe	B1
owing	B1
own	B1
oxygen	B1
pace	B1
package	B1
packing	B1
paddle	B1
paid	B1
pain	B1
painful	B1
pale	B1
palm	B1
parachute	B1
paradise	B1
paralyze/paralyse	B1
parcel	B1
pardon	B1
parental	B1
parking	B1
parrot	B1
partial	B1
participant	B1
participate	B1
participle	B1
particularly	B1
part-time	B1
part-time	B1
passion	B1
passive	B1
passport	B1
password	B1
past	B1
patience	B1
patient	B1
patrol	B1
pattern	B1
pause	B1
pause	B1
peanut	B1
peculiar	B1
penniless	B1
penny	B1
per	B1
percent/per cent	B1
performer	B1
permanent	B1
permanently	B1
permit	B1
personally	B1
persuade	B1
persuasive	B1
phantom	B1
pharmacy	B1
phenomenon	B1
philosopher	B1
philosophy	B1
phoenix	B1
photocopy	B1
phrasal verb	B1
phrase	B1
physics	B1
pick	B1
pie	B1
piety	B1
pillow	B1
pin	B1
pineapple	B1
pipe	B1
pit	B1
place	B1
plain	B1
plan	B1
plant	B1
plastic	B1
platform	B1
pleasantly	B1
please	B1
plenty	B1
plug	B1
plus	B1
pocket money	B1
poet	B1
poetry	B1
poison	B1
poisonous	B1
pole	B1
policy	B1
politely	B1
politician	B1
politics	B1
pollutant	B1
pond	B1
popcorn	B1
pork	B1
port	B1
positive	B1
positively	B1
possess	B1
possession	B1
possessive	B1
possibility	B1
postcard	B1
postman	B1
pot	B1
potential	B1
pottery	B1
pound	B1
poverty	B1
powder	B1
practical	B1
praise	B1
prayer	B1
precious	B1
preference	B1
prefix	B1
pregnant	B1
prejudice	B1
preparation	B1
prepared	B1
preposition	B1
preschool	B1
prescription	B1
presence	B1
present	B1
presentation	B1
preservation	B1
preserve	B1
president	B1
press	B1
press	B1
previous	B1
priest	B1
primarily	B1
